#V,vertexid,longitude,latitude,x*,y*
V,0,-76.929192819,38.8924826094,,
V,2,-76.9296620544,38.8925491793,,
V,3,-76.981166842,38.9025611176,,
V,13,-76.9806830055,38.9033419167,,
V,14,-76.9796279047,38.8655023225,,
V,16,-76.9796776153,38.8653335596,,
V,17,-77.0189335838,38.8983222165,,
V,19,-77.0194016108,38.8983187914,,
V,20,-77.1014062303,38.924958382,,
V,37,-77.1028559907,38.9262992178,,
V,38,-76.9575128346,38.8868014336,,
V,43,-76.956071499,38.8868036029,,
V,44,-77.0286303547,38.9617213634,,
V,58,-77.029695521,38.962182951,,
V,59,-76.9984524364,38.8930893835,,
V,69,-76.9961704981,38.8922242132,,
V,70,-77.0681607876,38.9390930525,,
V,72,-77.0685075873,38.9390930158,,
V,73,-77.0261459838,38.9684738155,,
V,76,-77.0260635553,38.9686399657,,
V,77,-76.9908002122,38.9030180358,,
V,86,-76.9915263921,38.9029300881,,
V,87,-77.0007707257,38.9322592501,,
V,97,-77.0005530023,38.931712656,,
V,98,-77.0005756041,38.8410520903,,
V,112,-77.0000969482,38.8404026871,,
V,113,-77.021373385,38.9242199576,,
V,115,-77.0223271184,38.9245525663,,
V,116,-76.9177837888,38.8983753569,,
V,141,-76.9175742,38.899282712,,
V,142,-77.0379558857,38.9103922779,,
V,146,-77.0384895841,38.9103922081,,
V,147,-77.0488513005,38.8921098669,,
V,151,-77.0501617043,38.8921029876,,
V,152,-76.9737596223,38.851086429,,
V,163,-76.9723485747,38.8500043702,,
V,164,-76.9959601277,38.8495207592,,
V,170,-76.995492892,38.8495208142,,
V,171,-76.9869827202,38.9453035998,,
V,174,-76.9874512204,38.9456387305,,
V,175,-77.0737079623,38.9514244553,,
V,188,-77.0743173278,38.9514765962,,
V,189,-76.9836482886,38.8989118446,,
V,192,-76.9836430168,38.899253839,,
V,193,-77.0121568832,38.9565958412,,
V,194,-77.0125834045,38.956595438,,
V,195,-77.0090683848,38.9051113045,,
V,196,-77.0090652056,38.9056551215,,
V,197,-77.0123919366,38.9508361023,,
V,200,-77.0127947722,38.9510159299,,
V,201,-76.9434333584,38.9067732295,,
V,213,-76.9428518978,38.9072528214,,
V,214,-76.9894370797,38.9534510234,,
V,217,-76.9889593609,38.9533614326,,
V,218,-76.9811779378,38.9330411684,,
V,220,-76.9805985437,38.9330687016,,
V,221,-77.0279837798,38.9689852887,,
V,226,-77.0290987713,38.9689866149,,
V,227,-76.9608872504,38.877854698,,
V,232,-76.9600607979,38.8775145929,,
V,233,-77.0270387823,38.9013421215,,
V,239,-77.0280776821,38.901339304,,
V,240,-77.0619908906,38.9697742424,,
V,246,-77.0638815166,38.9697698017,,
V,247,-77.0090698247,38.8832100806,,
V,254,-77.0080857982,38.883239308,,
V,255,-76.968015274,38.9330011784,,
V,269,-76.965705568,38.9341062451,,
V,270,-77.003989133,38.9213071289,,
V,273,-77.0035036366,38.9213072283,,
V,274,-77.0449241026,38.9080700243,,
V,277,-77.0446789016,38.9083343231,,
V,278,-77.0777674268,38.9640080978,,
V,280,-77.0798850565,38.9640095478,,
V,281,-77.0605719764,38.9735520513,,
V,286,-77.0595921363,38.9743178747,,
V,287,-77.0281289294,38.9389218156,,
V,290,-77.0277393756,38.9394474386,,
V,291,-77.0355884713,38.9472000146,,
V,293,-77.0355180464,38.9476121688,,
V,294,-77.0133171478,38.9421416567,,
V,315,-77.0136860532,38.94222404,,
V,316,-77.0768794043,38.913653913,,
V,318,-77.0772934211,38.9136162547,,
V,319,-76.9522410187,38.8687748306,,
V,363,-76.9531022088,38.8674310605,,
V,364,-77.0819507864,38.9121915143,,
V,388,-77.0841284008,38.9120672286,,
V,389,-77.0581340391,38.9071729767,,
V,398,-77.058692261,38.9073604299,,
V,399,-77.0427334274,38.913372529,,
V,401,-77.0428840478,38.9133725222,,
V,402,-77.0781887564,38.9291822306,,
V,413,-77.0786808699,38.9293942269,,
V,414,-76.9256687398,38.9014510562,,
V,426,-76.925630465,38.9018461329,,
V,427,-77.0185858426,38.9399344894,,
V,430,-77.0190989374,38.9399193201,,
V,431,-76.9717184161,38.9119044096,,
V,434,-76.9712376343,38.9119034556,,
V,435,-76.9919651929,38.843625979,,
V,437,-76.991572882,38.8436763987,,
V,438,-76.9817281107,38.86946977,,
V,441,-76.9817469958,38.8691376825,,
V,442,-76.9951435003,38.9588767744,,
V,459,-76.9947600229,38.9586953652,,
V,460,-77.0949124652,38.952116582,,
V,464,-77.095556813,38.9521163369,,
V,465,-76.996566432,38.946786221,,
V,467,-76.9965809168,38.9472946944,,
V,468,-76.9300523056,38.892236305,,
V,471,-76.9300372664,38.8925714999,,
V,472,-77.0967722618,38.947915226,,
V,475,-77.096768632,38.9488104723,,
V,476,-76.9773575801,38.8712793672,,
V,478,-76.9773600465,38.8707493237,,
V,479,-77.0529792784,38.9742963147,,
V,480,-77.0533623348,38.9743241145,,
V,481,-77.053221095,38.9728392022,,
V,487,-77.0542746928,38.9728359254,,
V,488,-77.0128229754,38.9739039352,,
V,495,-77.0138070212,38.9747888606,,
V,496,-76.9926464668,38.8844545581,,
V,500,-76.9920383926,38.8844802783,,
V,501,-77.0033932335,38.9197667965,,
V,506,-77.0020312135,38.9197681005,,
V,507,-77.035692955,38.8987605149,,
V,534,-77.0373869723,38.8984330963,,
V,537,-77.0374048524,38.8987537602,,
V,538,-77.0319747406,38.8886151078,,
V,543,-77.0330047942,38.8888597518,,
V,544,-76.9939579942,38.828507103,,
V,552,-77.0340210336,38.9230224935,,
V,556,-77.0340737927,38.9234987223,,
V,557,-76.9897619812,38.8876001915,,
V,562,-76.9883174906,38.8876009534,,
V,563,-76.9741781372,38.9361741807,,
V,569,-76.9741810953,38.9372424751,,
V,570,-77.0717117488,38.9507337795,,
V,573,-77.0721494991,38.9507352493,,
V,574,-76.9807143752,38.8961187805,,
V,586,-76.9803293428,38.8965109642,,
V,587,-77.0233259938,38.9413689821,,
V,591,-77.0233486171,38.9419362257,,
V,592,-76.9979266239,38.8967312493,,
V,596,-76.996696614,38.8967279009,,
V,597,-76.9358498323,38.892307736,,
V,613,-76.9358317977,38.8930070462,,
V,614,-77.0830643088,38.9412465581,,
V,621,-77.0820890533,38.9423869922,,
V,622,-76.9911091965,38.9013258962,,
V,624,-76.9902464825,38.9013252908,,
V,625,-77.0887456101,38.9100901173,,
V,627,-77.0888088007,38.9101652609,,
V,628,-77.0460211243,38.9140914002,,
V,630,-77.0461683291,38.9143867874,,
V,631,-77.0741916874,38.9144490145,,
V,639,-77.0755926091,38.914412984,,
V,640,-77.0107979056,38.908574214,,
V,644,-77.0115659928,38.9085754073,,
V,645,-76.9787361763,38.8730776244,,
V,647,-76.9785413434,38.872936274,,
V,648,-77.0926154365,38.9521183438,,
V,650,-77.0931533268,38.9521144578,,
V,651,-77.066084569,38.9087966878,,
V,662,-77.0678417098,38.9087550964,,
V,663,-77.0345662238,38.9079416354,,
V,664,-77.0345636716,38.9083373689,,
V,665,-77.0350260035,38.8954486426,,
V,668,-77.0350732773,38.8964136222,,
V,669,-76.9560760639,38.8871666351,,
V,671,-77.0958889977,38.916735011,,
V,673,-77.096126268,38.9169496159,,
V,674,-76.9995088512,38.9037357023,,
V,677,-76.999509133,38.9041428799,,
V,678,-77.0333724346,38.8841124167,,
V,684,-77.0337145165,38.8843587879,,
V,685,-77.0233300057,38.969525439,,
V,688,-77.0233327493,38.9699309467,,
V,689,-76.9805873722,38.9044124368,,
V,695,-76.9800331302,38.9043759935,,
V,696,-77.0702275595,38.9539810262,,
V,698,-77.0706998519,38.9539810681,,
V,699,-77.0707087158,38.9443806457,,
V,705,-77.0719094757,38.9443807577,,
V,706,-76.9664242675,38.8724740084,,
V,709,-76.9664254032,38.8720180483,,
V,710,-77.0820378764,38.9510411979,,
V,717,-77.0835278138,38.9510448272,,
V,718,-76.9575067629,38.8956418906,,
V,721,-76.9570184563,38.8955805778,,
V,722,-76.998447908,38.9013315429,,
V,724,-76.9984487615,38.9016157054,,
V,725,-77.0408824864,38.9477901271,,
V,727,-77.0411535694,38.9479841598,,
V,728,-77.0449075876,38.8995865597,,
V,737,-77.0466548186,38.8995848897,,
V,738,-76.9995205884,38.8898160661,,
V,742,-76.9995139526,38.8891986229,,
V,743,-77.0181530261,38.8454279628,,
V,770,-77.0198396755,38.845775144,,
V,771,-77.0219080232,38.8832455504,,
V,773,-77.02190738,38.8828211654,,
V,774,-77.1077418507,38.9283257574,,
V,777,-77.1069741589,38.9288144911,,
V,778,-77.0948789304,38.9492531963,,
V,780,-77.0948826673,38.9488100184,,
V,781,-76.9943520725,38.8903199549,,
V,787,-76.9941971668,38.8905246063,,
V,788,-76.9735987009,38.8964661802,,
V,792,-76.9731652827,38.8963886517,,
V,793,-76.9269277014,38.8931877992,,
V,796,-76.9267749005,38.8936032171,,
V,797,-76.9683976615,38.8741423804,,
V,800,-76.9677709811,38.8741533289,,
V,801,-76.9291533549,38.898354074,,
V,807,-76.927464968,38.8983577167,,
V,808,-77.0317264265,38.8797696246,,
V,814,-77.0304370369,38.8807519185,,
V,815,-76.9662759234,38.868549975,,
V,818,-76.9658006391,38.8685492698,,
V,819,-76.9987495603,38.844684762,,
V,832,-76.9977251534,38.8446488608,,
V,833,-77.0502420137,38.8864929695,,
V,883,-77.0499976853,38.8867449464,,
V,884,-76.9772616983,38.893309238,,
V,889,-76.9772585713,38.8937825828,,
V,890,-77.0021967514,38.9632377397,,
V,899,-76.9995804169,38.962701831,,
V,900,-77.0291308323,38.9839021178,,
V,901,-77.0291283886,38.9832200281,,
V,902,-77.0645482612,38.9310335718,,
V,905,-77.0647104743,38.9306513889,,
V,906,-77.0698057938,38.9724419304,,
V,921,-77.0702525941,38.9720658616,,
V,922,-77.0257320685,38.9253871637,,
V,924,-77.0258054526,38.9258762683,,
V,925,-77.0296989267,38.9529122761,,
V,930,-77.030264993,38.9529148863,,
V,931,-76.9655033812,38.9316465306,,
V,935,-76.9648630543,38.9318855032,,
V,936,-77.0436172319,38.941444152,,
V,963,-77.0430845533,38.9429759392,,
V,964,-76.9762148575,38.9056299907,,
V,968,-76.9762152016,38.9059941849,,
V,969,-77.0736505628,38.9207056451,,
V,981,-77.0739151338,38.9206860195,,
V,982,-77.0559942295,38.9675036767,,
V,1000,-77.0568546628,38.9671659027,,
V,1001,-77.032727979,38.9432826068,,
V,1018,-77.0321333116,38.9439881207,,
V,1019,-77.0167435992,38.8397181189,,
V,1022,-77.0172887536,38.8398311456,,
V,1023,-77.0417147175,38.8959957988,,
V,1030,-77.0434683404,38.8959865733,,
V,1031,-77.0189367424,38.8948102656,,
V,1034,-77.0199034953,38.8944188134,,
V,1035,-77.028188874,38.8904684615,,
V,1043,-77.0281900654,38.8916804339,,
V,1044,-76.9593926157,38.8724302013,,
V,1066,-76.957232506,38.8722704313,,
V,1067,-77.0373131447,38.907542305,,
V,1069,-77.0374368683,38.907561452,,
V,1070,-76.9961915223,38.8784145419,,
V,1074,-76.9961894947,38.8775375745,,
V,1075,-76.9838617643,38.9046237135,,
V,1078,-76.9835196191,38.9044773701,,
V,1079,-76.998833385,38.862840615,,
V,1082,-76.9983577858,38.8626444279,,
V,1083,-77.0332468703,38.9397475004,,
V,1087,-77.0345364849,38.939748494,,
V,1088,-77.0373397966,38.9885046664,,
V,1110,-77.0369939346,38.9888690158,,
V,1111,-77.0198994941,38.96324512,,
V,1114,-77.0198990582,38.9635022331,,
V,1115,-76.921895691,38.8983732237,,
V,1119,-76.921896018,38.8991274944,,
V,1120,-77.0214184142,38.9736166732,,
V,1128,-77.0214187692,38.9747977426,,
V,1129,-77.0775301462,38.9570293226,,
V,1130,-77.0776967172,38.9570295149,,
V,1131,-76.9766178057,38.8984188004,,
V,1134,-76.9764586126,38.8989108801,,
V,1135,-77.0116901865,38.948690912,,
V,1139,-77.0114634399,38.9485065085,,
V,1140,-76.9773066517,38.8972874102,,
V,1150,-76.9777021794,38.8973440702,,
V,1151,-77.0854518744,38.9378697137,,
V,1169,-77.0856359481,38.9382336917,,
V,1170,-76.9642960038,38.9293422059,,
V,1177,-76.9624872656,38.9308436818,,
V,1178,-77.0891795829,38.9439691128,,
V,1181,-77.0900811422,38.9439712394,,
V,1182,-77.0302636899,38.9540912367,,
V,1185,-77.0328645507,38.9540934588,,
V,1186,-77.0004894352,38.9641654657,,
V,1193,-77.0021938927,38.964078463,,
V,1194,-76.9995092797,38.8924041518,,
V,1195,-76.9995103029,38.8926899345,,
V,1196,-77.056458787,38.9469576725,,
V,1211,-77.0567143605,38.9478977432,,
V,1212,-77.0185977431,38.9420771571,,
V,1216,-77.0192025188,38.9420613849,,
V,1217,-77.0951225771,38.9237627906,,
V,1233,-77.0942832883,38.9236861793,,
V,1234,-76.9711535282,38.9365495756,,
V,1235,-76.9716258631,38.9365522248,,
V,1236,-76.9880958332,38.9452557876,,
V,1243,-76.9879794814,38.9447569599,,
